validtime,power_sum,DSWRF_SFC,TMP_SFC
2019-01-01 03:00:00,0.0,0.0,-3.75
2019-01-01 04:00:00,0.0,0.0,-3.79
2019-01-01 05:00:00,0.0,0.0,-3.95
2019-01-01 06:00:00,0.0,0.0,-4.59
2019-01-01 07:00:00,2.8,33.31,-4.56
2019-01-01 08:00:00,13.7,149.125,-3.47
2019-01-01 09:00:00,22.0,307.37,-1.2
2019-01-01 10:00:00,27.2,435.275,1.19
2019-01-01 11:00:00,30.4,510.29999999999995,3.05
2019-01-01 12:00:00,28.4,524.2249999999999,4.35
2019-01-01 13:00:00,23.7,474.53,5.52
2019-01-01 14:00:00,16.4,364.32,6.38
2019-01-01 15:00:00,5.9,211.45499999999998,6.87
2019-01-01 16:00:00,0.1,69.46,5.99
2019-01-01 17:00:00,0.0,5.44,4.35
2019-01-01 18:00:00,0.0,0.0,3.87
2019-01-01 19:00:00,0.0,0.0,3.13
2019-01-01 20:00:00,0.0,0.0,2.88
2019-01-01 21:00:00,0.0,0.0,2.68
